,nom_entreprise,adresse,latitude,longitude,activite_principale
2801,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),CENTRE DE RADIOLOGIE 162 GALERIE DE L'ARLEQUIN 38100 GRENOBLE,45.161912,5.732636,85.1C
2802,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),3 RUE VAUBAN 38000 GRENOBLE,45.188368,5.723883,47.78A
2803,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),21 RUE DOCTEUR HERMITE 38000 GRENOBLE,45.181627,5.709017,85.1K
2804,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),14 RUE CLAUDE GENIN 38100 GRENOBLE,45.182221,5.746278,85.1K
2805,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),65 BOULEVARD DES ALPES 38240 MEYLAN,45.204877,5.780464,65.12Z
2806,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),17 RUE JACQUES ANQUETIL 38400 SAINT-MARTIN-D'HERES,45.171917,5.753094,86.10Z
2807,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),674 AVENUE DE SAVOIE 38660 LA TERRASSE,45.32496,5.93119,87.10A
2808,MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE (MFI.SSAM),20 ROUTE DU PAVILLON 38760 VARCES-ALLIERES-ET-RISSET,45.104708,5.683422,87.10B
2809,SCANIA FRANCE,2464 AV DU GEN DE GAULLE 38130 ECHIROLLES,45.140862,5.713352,45.19Z
2810,SCANIA FRANCE,ZI DE L'ILE GABOURD 608 CHEMIN DES MARINIERS 38340 VOREPPE,45.284899,5.621982,45.19Z
2811,GEOX FRANCE (GEOX SHOP),DONNANT 5 ET 7 RUE SAINT JACQUES RUE RAOUL BLANCHARD 38000 GRENOBLE,45.19001,5.729509,47.72A
2812,GEOX FRANCE (GEOX SHOP),GALERIE LAFAYETTE 12 PLACE GRENETTE 38000 GRENOBLE,45.190774,5.727102,47.72A
2813,PAULET 4,LA PLAINE 38140 SAINT-BLAISE-DU-BUIS,45.376167,5.513035,35.11Z
2814,APAVE,16 AVENUE DE GRUGLIASCO 38130 ECHIROLLES,45.150385,5.714983,71.20B
2815,APAVE,6 RUE ROLAND GARROS 38320 EYBENS,45.159069,5.738599,71.20B
2816,NESPRESSO FRANCE,5 B RUE DE LA REPUBLIQUE 38000 GRENOBLE,45.190818,5.728688,46.37Z
2817,NESPRESSO FRANCE,5 RUE FELIX POULAT 38000 GRENOBLE,45.189908,5.726505,47.29Z
2818,COSMETIQUES DEVELOPPEMENT,4 RUE DE BONNE 38000 GRENOBLE,45.190018,5.727005,47.75Z
2819,PM SUCCURSALES,BUSINESS VALLEE 15 RUE MARCEL PAUL 38120 SAINT-EGREVE,45.227552,5.682957,47.71Z
2820,FENWICK-LINDE (FENWICK),80 RUE DE CHAMP ROMAN 38400 SAINT-MARTIN-D'HERES,45.184856,5.778507,46.69B
2821,COMMUNE MEAUX,VILLARS DE LANS 38250 VILLARD-DE-LANS,45.069749,5.550155,55.20Z
2822,TEMSYS (AYVENS FRANCE),4 PLACE VICTOR HUGO 38000 GRENOBLE,45.189496,5.724061,77.11B
2823,FIDUCIAL BUREAUTIQUE (BRUN-PASSOT ; SACI ; EDIMCO ; SACI FOURNITURES DE BUREAU; FIDUCIAL OFFICE SOLUTIONS ET FOS),CITY PARK 36 RUE DE LA TUILERIE 38170 SEYSSINET-PARISET,45.172755,5.688669,52.4R
2824,FIDUCIAL BUREAUTIQUE (BRUN-PASSOT ; SACI ; EDIMCO ; SACI FOURNITURES DE BUREAU; FIDUCIAL OFFICE SOLUTIONS ET FOS),15 BOULEVARD PAUL LANGEVIN 38600 FONTAINE,45.186898,5.68643,46.49Z
2825,FIDUCIAL BUREAUTIQUE (BRUN-PASSOT ; SACI ; EDIMCO ; SACI FOURNITURES DE BUREAU; FIDUCIAL OFFICE SOLUTIONS ET FOS),PARC WORD CENTER BAT B RUE DE CHAMPFEUILLET 38500 VOIRON,45.371242,5.565531,46.49Z
2826,NICOLLIN SAS,LA DECHETTERIE ECOSITE DU VERCORS RD 531 ROUTE DES JARRANDS 38250 VILLARD-DE-LANS,45.080756,5.532867,38.11Z
2827,FIVE GUYS FRANCE,ZONE D'ACTIVITE COMMERCIALE NEYRPIC 30 RUE GALILEE 38400 SAINT-MARTIN-D'HERES,45.186126,5.755621,56.10C
2828,ARTES,GRAND PLACE 38100 GRENOBLE,45.157897,5.732046,47.78C
2829,HOMEPERF (HOMEPERF HOPITAL ET DOMICILE),810 AVENUE DU GRAND SABLON 38700 LA TRONCHE,45.195949,5.747849,52.3C
2830,HOMEPERF (HOMEPERF HOPITAL ET DOMICILE),21 B RUE DE BROTTERODE 38950 SAINT-MARTIN-LE-VINOUX,45.214209,5.687755,52.3C
2831,HOMEPERF (HOMEPERF HOPITAL ET DOMICILE),95 B RUE GENERAL MANGIN 38100 GRENOBLE,45.16066,5.71293,47.74Z
2832,FEDERATION UNIE DES AUBERGES DE JEUNESSE (FUAJ),20 RUE DES ALISIERS 38410 CHAMROUSSE,45.124764,5.876673,55.20Z
2833,FEDERATION UNIE DES AUBERGES DE JEUNESSE (FUAJ),10 AVENUE DU GRESIVAUDAN 38130 ECHIROLLES,45.152604,5.704366,55.20Z
2834,FEDERATION UNIE DES AUBERGES DE JEUNESSE (FUAJ),3 RUE DE STRASBOURG 38000 GRENOBLE,45.187574,5.729819,55.2A
2835,FEDERATION UNIE DES AUBERGES DE JEUNESSE (FUAJ),LES HIRONDELLES LES GAILLARDS 38112 AUTRANS-MEAUDRE EN VERCORS,45.134685,5.533539,55.20Z
2836,ASSOCIATION GENERALE DES INTERVENANTS RETRAITES ABCD (AGIR ABCD),17 RUE CHENOISE 38000 GRENOBLE,45.193453,5.730375,94.99Z
2837,COGEDIM RESIDENCES SERVICES,1360 AVENUE DE L’EUROPE 38330 MONTBONNOT-SAINT-MARTIN,45.221232,5.814038,41.10A
2838,OFFICE NATIONAL LOGEMENT ETUDIANTS (ONLE),RESIDENCE ANTHOARD 11 RUE ANTHOARD 38000 GRENOBLE,45.189022,5.7119,55.10Z
2839,T.N.T. SERGE BLANCO,12 RUE DE SAULT 38000 GRENOBLE,45.189069,5.726951,47.71Z
2840,T.N.T. SERGE BLANCO,16 RUE DE SAULT 38000 GRENOBLE,45.188894,5.727085,47.71Z
2841,ONLY STORES FRANCE,55 GRAND PLACE 38100 GRENOBLE,45.158412,5.730834,47.71Z
2842,ONLY STORES FRANCE,ST MARTIN D HERES 9 AVENUE BENOIT FRACHON 38400 SAINT-MARTIN-D'HERES,45.184933,5.755443,47.71Z
2843,LES VOLANTS,33 RUE COLONEL BOUGAULT 38100 GRENOBLE,45.181013,5.730414,74.5B
