,Code NAF,Intitule NAF
350,3832,Récupération de déchets triés
351,2314,Fabrication de fibres de verre
352,4753,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
353,2593,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
354,3012Z,Construction de bateaux de plaisance
355,7219Z,Recherche-développement en autres sciences physiques et naturelles
356,2364,Fabrication de mortiers et bétons secs
357,9522Z,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
358,1062Z,Fabrication de produits amylacés
359,4299Z,Construction d'autres ouvrages de génie civil n.c.a.
360,4638B,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
361,6209,Autres activités informatiques
362,582,Édition de logiciels
363,3811,Collecte des déchets non dangereux
364,279,Fabrication d'autres matériels électriques
365,5010Z,Transports maritimes et côtiers de passagers
366,6622,Activités des agents et courtiers d'assurances
367,1072,"Fabrication de biscuits, biscottes et pâtisseries de conservation"
368,774,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
369,6110Z,Télécommunications filaires
370,4779Z,Commerce de détail de biens d'occasion en magasin
371,79,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes"
372,5610C,Restauration de type rapide
373,9602A,Coiffure
374,33,Réparation et installation de machines et d'équipements
375,8211,Services administratifs combinés de bureau
376,1012Z,Transformation et conservation de la viande de volaille
377,5222Z,Services auxiliaires des transports par eau
378,799,Autres services de réservation et activités connexes
379,9810,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
380,212,Fabrication de préparations pharmaceutiques
381,2630Z,Fabrication d'équipements de communication
382,2370Z,"Taille, façonnage et finissage de pierres"
383,7410Z,Activités spécialisées de design
384,15,Culture et élevage associés
385,6810,Activités des marchands de biens immobiliers
386,6831,Agences immobilières
387,2599,Fabrication d'autres produits métalliques n.c.a.
388,4312B,Travaux de terrassement spécialisés ou de grande masse
389,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants
390,5821,Édition de jeux électroniques
391,4644,"Commerce de gros de vaisselle, verrerie et produits d'entretien"
392,80,Enquêtes et sécurité
393,9101Z,Gestion des bibliothèques et des archives
394,1071A,Fabrication industrielle de pain et de pâtisserie fraîche
395,1412Z,Fabrication de vêtements de travail
396,5229,Autres services auxiliaires des transports
397,2812,Fabrication d'équipements hydrauliques et pneumatiques
398,4222,Construction de réseaux électriques et de télécommunications
399,6629,Autres activités auxiliaires d'assurance et de caisses de retraite
400,433,Travaux de finition
401,852,Enseignement primaire
402,4651,"Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
403,982,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
404,1102B,Vinification
405,2751Z,Fabrication d'appareils électroménagers
406,8230Z,"Organisation de foires, salons professionnels et congrès"
407,7733Z,Location et location-bail de machines de bureau et de matériel informatique
408,503,Transports fluviaux de passagers
409,4399,Autres travaux de construction spécialisés n.c.a.
410,5821Z,Édition de jeux électroniques
411,115,Culture du tabac
412,9420Z,Activités des syndicats de salariés
413,0230Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage
414,0811Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
415,6810Z,Activités des marchands de biens immobiliers
416,8559,Enseignements divers
417,0220Z,Exploitation forestière
418,2752Z,Fabrication d'appareils ménagers non électriques
419,2370,"Taille, façonnage et finissage de pierres"
420,0163Z,Traitement primaire des récoltes
421,899,Autres activités extractives n.c.a.
422,6612,Courtage de valeurs mobilières et de marchandises
423,3319Z,Réparation d'autres équipements
424,282,Fabrication d'autres machines d'usage général
425,9512Z,Réparation d'équipements de communication
426,25,"Fabrication de produits métalliques, à l’exception des machines et des équipements"
427,8412Z,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
428,5913B,Edition et distribution vidéo
429,1629Z,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
430,8541Z,Enseignement post-secondaire non supérieur
431,2790Z,Fabrication d'autres matériels électriques
432,4752,"Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé"
433,4711E,Magasins multi-commerces
434,0141Z,Élevage de vaches laitières
435,6492Z,Autre distribution de crédit
436,5813Z,Édition de journaux
437,8020,Activités liées aux systèmes de sécurité
438,0150Z,Culture et élevage associés
439,3530,Production et distribution de vapeur et d'air conditionné
440,8899,Autre action sociale sans hébergement n.c.a.
441,8413Z,Administration publique (tutelle) des activités économiques
442,8541,Enseignement post-secondaire non supérieur
443,4711D,Supermarchés
444,8621Z,Activité des médecins généralistes
445,5520,Hébergement touristique et autre hébergement de courte durée
446,1820,Reproduction d'enregistrements
447,512,Transports aériens de fret et transports spatiaux
448,5110,Transports aériens de passagers
449,27,Fabrication d'équipements électriques
450,232,Fabrication de produits réfractaires
451,8030,Activités d'enquête
452,6832A,Administration d'immeubles et autres biens immobiliers
453,2511,Fabrication de structures métalliques et de parties de structures
454,2352Z,Fabrication de chaux et plâtre
